"shape","maturity","t_cutoff","rmst_horizon","rmst_cutoff","theta_C","truth_C_grade","t_median"
"ph",0.4,10.4882241148287,17.0556448796954,8.20714713670365,0.518801710835679,"severe",14.2730021282881
"early",0.4,7.72430839470245,15.5726983692974,5.92562883825642,0.619486058373853,"severe",11.3402611513468
"late",0.4,8.6028903470433,13.9405080533342,6.88417794895051,0.506174529463867,"severe",11.118036860419
"crossing",0.4,11.2362735049123,15.8142433183385,8.78629264731411,0.444406382876039,"mild",14.0031724621371
"ph",0.6,18.9354014167648,17.0556448796954,12.371981199081,0.274610764568055,"mild",14.2730021282881
"early",0.6,16.2667877115963,15.5726983692974,10.1091491086378,0.350841526053788,"mild",11.3402611513468
"late",0.6,14.1156016215397,13.9405080533342,9.60821789604957,0.310769890215619,"mild",11.118036860419
"crossing",0.6,17.0405084787607,15.8142433183385,11.6772395212665,0.261599857406685,"mild",14.0031724621371
"ph",0.8,33.6329777868848,17.0556448796954,16.6074093363709,0.026280773696114,"none",14.2730021282881
"early",0.8,34.1856058111786,15.5726983692974,15.2211505290893,0.0225746259171869,"none",11.3402611513468
"late",0.8,23.400614236875,13.9405080533342,12.2840669647046,0.118822146387517,"none",11.118036860419
"crossing",0.8,26.6472891579493,15.8142433183385,14.4448069231713,0.0865951261530878,"none",14.0031724621371
